股票名称,股票代码,股票代码（纯数字）
双钱股份,sh600623,600623
复旦复华,sh600624,600624
PT水仙,sh600625,600625
申达股份,sh600626,600626
上电股份,sh600627,600627
新世界,sh600628,600628
棱光实业,sh600629,600629
龙头股份,sh600630,600630
百联股份,sh600631,600631
华联商厦,sh600632,600632
浙报传媒,sh600633,600633
中技控股,sh600634,600634
大众公用,sh600635,600635
三爱富,sh600636,600636
百视通,sh600637,600637
新黄浦,sh600638,600638
浦东金桥,sh600639,600639
号百控股,sh600640,600640
万业企业,sh600641,600641
申能股份,sh600642,600642
爱建股份,sh600643,600643
乐山电力,sh600644,600644
中源协和,sh600645,600645
ST国嘉,sh600646,600646
同达创业,sh600647,600647
外高桥,sh600648,600648
城投控股,sh600649,600649
锦江投资,sh600650,600650
飞乐音响,sh600651,600651
游久游戏,sh600652,600652
申华控股,sh600653,600653
飞乐股份,sh600654,600654
豫园商城,sh600655,600655
博元投资,sh600656,600656
信达地产,sh600657,600657
电子城,sh600658,600658
*ST花雕,sh600659,600659
福耀玻璃,sh600660,600660
新南洋,sh600661,600661
强生控股,sh600662,600662
陆家嘴,sh600663,600663
哈药股份,sh600664,600664
天地源,sh600665,600665
西南药业,sh600666,600666
太极实业,sh600667,600667
尖峰集团,sh600668,600668
*ST鞍成,sh600669,600669
*ST斯达,sh600670,600670
天目药业,sh600671,600671
*ST华圣,sh600672,600672
东阳光科,sh600673,600673
川投能源,sh600674,600674
中华企业,sh600675,600675
交运股份,sh600676,600676
航天通信,sh600677,600677
四川金顶,sh600678,600678
金山开发,sh600679,600679
上海普天,sh600680,600680
万鸿集团,sh600681,600681
南京新百,sh600682,600682
京投银泰,sh600683,600683
珠江实业,sh600684,600684
广船国际,sh600685,600685
金龙汽车,sh600686,600686
刚泰控股,sh600687,600687
上海石化,sh600688,600688
上海三毛,sh600689,600689
青岛海尔,sh600690,600690
阳煤化工,sh600691,600691
亚通股份,sh600692,600692
东百集团,sh600693,600693
大商股份,sh600694,600694
绿庭投资,sh600695,600695
多伦股份,sh600696,600696
欧亚集团,sh600697,600697
湖南天雁,sh600698,600698
均胜电子,sh600699,600699
*ST数码,sh600700,600700
工大高新,sh600701,600701
沱牌舍得,sh600702,600702
三安光电,sh600703,600703
物产中大,sh600704,600704
中航投资,sh600705,600705
曲江文旅,sh600706,600706
彩虹股份,sh600707,600707
海博股份,sh600708,600708
ST生态,sh600709,600709
常林股份,sh600710,600710
盛屯矿业,sh600711,600711
南宁百货,sh600712,600712
南京医药,sh600713,600713
金瑞矿业,sh600714,600714
*ST松辽,sh600715,600715
凤凰股份,sh600716,600716
天津港,sh600717,600717
东软集团,sh600718,600718
大连热电,sh600719,600719
祁连山,sh600720,600720
百花村,sh600721,600721
金牛化工,sh600722,600722
首商股份,sh600723,600723
宁波富达,sh600724,600724
云维股份,sh600725,600725
华电能源,sh600726,600726
鲁北化工,sh600727,600727
佳都科技,sh600728,600728
重庆百货,sh600729,600729
中国高科,sh600730,600730
湖南海利,sh600731,600731
上海新梅,sh600732,600732
S前锋,sh600733,600733
实达集团,sh600734,600734
新华锦,sh600735,600735
苏州高新,sh600736,600736
中粮屯河,sh600737,600737
兰州民百,sh600738,600738
辽宁成大,sh600739,600739
山西焦化,sh600740,600740
华域汽车,sh600741,600741
一汽富维,sh600742,600742
华远地产,sh600743,600743
华银电力,sh600744,600744
中茵股份,sh600745,600745
江苏索普,sh600746,600746
大连控股,sh600747,600747
上实发展,sh600748,600748
西藏旅游,sh600749,600749
江中药业,sh600750,600750
天津海运,sh600751,600751
*ST哈慈,sh600752,600752
东方银星,sh600753,600753
锦江股份,sh600754,600754
厦门国贸,sh600755,600755
浪潮软件,sh600756,600756
长江传媒,sh600757,600757
红阳能源,sh600758,600758
洲际油气,sh600759,600759
中航黑豹,sh600760,600760
安徽合力,sh600761,600761
S*ST金荔,sh600762,600762
通策医疗,sh600763,600763
中电广通,sh600764,600764
中航重机,sh600765,600765
园城黄金,sh600766,600766
运盛实业,sh600767,600767
宁波富邦,sh600768,600768
祥龙电业,sh600769,600769
综艺股份,sh600770,600770
广誉远,sh600771,600771
S*ST龙昌,sh600772,600772
西藏城投,sh600773,600773
汉商集团,sh600774,600774
南京熊猫,sh600775,600775
东方通信,sh600776,600776
新潮实业,sh600777,600777
友好集团,sh600778,600778
水井坊,sh600779,600779
通宝能源,sh600780,600780
辅仁药业,sh600781,600781
新钢股份,sh600782,600782
鲁信创投,sh600783,600783
鲁银投资,sh600784,600784
新华百货,sh600785,600785
东方锅炉,sh600786,600786
中储股份,sh600787,600787
*ST达曼,sh600788,600788
鲁抗医药,sh600789,600789
轻纺城,sh600790,600790
京能置业,sh600791,600791
云煤能源,sh600792,600792
ST宜纸,sh600793,600793
保税科技,sh600794,600794
国电电力,sh600795,600795
钱江生化,sh600796,600796
浙大网新,sh600797,600797
宁波海运,sh600798,600798
*ST龙科,sh600799,600799
天津磁卡,sh600800,600800
华新水泥,sh600801,600801
福建水泥,sh600802,600802
新奥股份,sh600803,600803
鹏博士,sh600804,600804
悦达投资,sh600805,600805
昆明机床,sh600806,600806
天业股份,sh600807,600807
马钢股份,sh600808,600808
山西汾酒,sh600809,600809
神马股份,sh600810,600810
东方集团,sh600811,600811
华北制药,sh600812,600812
ST鞍一工,sh600813,600813
杭州解百,sh600814,600814
厦工股份,sh600815,600815
安信信托,sh600816,600816
ST宏盛,sh600817,600817
中路股份,sh600818,600818
耀皮玻璃,sh600819,600819
隧道股份,sh600820,600820
津劝业,sh600821,600821
上海物贸,sh600822,600822
世茂股份,sh600823,600823
益民集团,sh600824,600824
新华传媒,sh600825,600825
兰生股份,sh600826,600826
百联股份,sh600827,600827
成商集团,sh600828,600828
三精制药,sh600829,600829
香溢融通,sh600830,600830
广电网络,sh600831,600831
东方明珠,sh600832,600832
第一医药,sh600833,600833
申通地铁,sh600834,600834
上海机电,sh600835,600835
界龙实业,sh600836,600836
海通证券,sh600837,600837
上海九百,sh600838,600838
四川长虹,sh600839,600839
新湖创业,sh600840,600840
上柴股份,sh600841,600841
中西药业,sh600842,600842
上工申贝,sh600843,600843
丹化科技,sh600844,600844
宝信软件,sh600845,600845
同济科技,sh600846,600846
万里股份,sh600847,600847
自仪股份,sh600848,600848
上药转换,sh600849,600849
华东电脑,sh600850,600850
海欣股份,sh600851,600851
*ST中川,sh600852,600852
龙建股份,sh600853,600853
春兰股份,sh600854,600854
航天长峰,sh600855,600855
长百集团,sh600856,600856
工大首创,sh600857,600857
银座股份,sh600858,600858
王府井,sh600859,600859
京城股份,sh600860,600860
北京城乡,sh600861,600861
南通科技,sh600862,600862
内蒙华电,sh600863,600863
哈投股份,sh600864,600864
百大集团,sh600865,600865
星湖科技,sh600866,600866
通化东宝,sh600867,600867
梅雁吉祥,sh600868,600868
智慧能源,sh600869,600869
厦华电子,sh600870,600870
*ST仪化,sh600871,600871
中炬高新,sh600872,600872
梅花生物,sh600873,600873
创业环保,sh600874,600874
东方电气,sh600875,600875
洛阳玻璃,sh600876,600876
中国嘉陵,sh600877,600877
*ST北科,sh600878,600878
航天电子,sh600879,600879
博瑞传播,sh600880,600880
亚泰集团,sh600881,600881
华联矿业,sh600882,600882
博闻科技,sh600883,600883
杉杉股份,sh600884,600884
宏发股份,sh600885,600885
国投电力,sh600886,600886
伊利股份,sh600887,600887
新疆众和,sh600888,600888
南京化纤,sh600889,600889
中房股份,sh600890,600890
秋林集团,sh600891,600891
宝诚股份,sh600892,600892
中航动力,sh600893,600893
广日股份,sh600894,600894
张江高科,sh600895,600895
中海海盛,sh600896,600896
厦门空港,sh600897,600897
三联商社,sh600898,600898
*ST信联,sh600899,600899
长江电力,sh600900,600900
重庆燃气,sh600917,600917
东方证券,sh600958,600958
